"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"1","R_TiJmmD1jPQalHl7",1,12.3,123,8.13,260.98,47.15,12.2,11.38,6.5,1.63,0,1.63,1.63,0.81,2.44,15.45,8.13,2.44,6.5,2.44,13.82,7.32,7.32,0,0.81,4.88,1.63,1.63,0,0,0,0,10.57,0.81,2.44,1.63,0,11.38,0.81,1.63,1.63,0.81,0.81,5.69,0,0,0,0,0,0,0,0,0,4.88,4.88,0,0,0,0,1.63,9.76,3.25,18.7,6.5,6.5,5.69,1.63,0.81,0.81,0,0,0,0,0,0,0,0,0,17.07,8.13,8.13,0,0,0,0,0,0.81,0.81,0,17.07
"2","R_3gNuQbwbr7P3zRj",2,18.5,111,13.51,327.93,59.46,22.52,15.32,6.31,0,0,9.01,0,7.21,3.6,11.71,10.81,4.5,7.21,2.7,19.82,6.31,0.9,0.9,0,1.8,5.41,3.6,1.8,0.9,0,0,14.41,0.9,0,9.01,0,16.22,4.5,3.6,5.41,0.9,0.9,0.9,2.7,0,0.9,1.8,1.8,0,0,0,0,8.11,4.5,0.9,2.7,0.9,0.9,0,12.61,1.8,10.81,4.5,2.7,3.6,3.6,1.8,0.9,0,0,0,0.9,0,0.9,0,0,0,7.21,4.5,0,0,0,0,0,0,2.7,2.7,0,7.21
"3","R_2aRixnspkib5HsJ",3,18.5,111,5.41,292.79,55.86,15.32,10.81,3.6,0,0,0.9,6.31,4.5,4.5,13.51,12.61,5.41,6.31,0,23.42,4.5,0.9,0.9,0.9,1.8,2.7,2.7,0,0,0,0,9.91,0.9,0,0.9,0.9,6.31,0.9,0.9,0.9,1.8,0,1.8,2.7,2.7,0,0,0.9,0,0.9,0,0,1.8,0,0,0,0.9,0.9,5.41,11.71,4.5,26.13,9.01,10.81,8.11,0,0,1.8,0,0,0,0.9,0,0,0,0.9,0,5.41,5.41,0,0,0,0,0,0,0,0,0,5.41
"4","R_1IFA1cEatctRqTy",4,28.5,114,14.04,238.6,47.37,15.79,7.89,4.39,0,0,3.51,0,7.89,7.02,15.79,7.02,1.75,3.51,0,12.28,5.26,1.75,1.75,0.88,0,1.75,1.75,0,0,0,0,7.89,0,0.88,0,3.51,7.89,3.51,2.63,0,3.51,0,0,0.88,0,0,0.88,1.75,1.75,0,0,0,5.26,0.88,1.75,0.88,1.75,0,4.39,7.89,1.75,11.4,3.51,4.39,3.51,5.26,3.51,0,0,0,0,0,0,0,0,0,0,14.91,7.02,1.75,0,0,0,0,0,2.63,0.88,1.75,11.4
"5","R_SATpX5DlIXYC0s9",5,19.3333333333333,116,13.79,331.03,59.48,19.83,12.07,5.17,1.72,0,5.17,0,7.76,3.45,18.97,12.07,2.59,6.9,2.59,22.41,10.34,7.76,0.86,0,5.17,3.45,3.45,0,0,0,0,8.62,0,0.86,0,5.17,12.93,0,0,2.59,3.45,4.31,2.59,1.72,0.86,0,0.86,0,0,0,0,0,7.76,2.59,3.45,1.72,1.72,0,2.59,13.79,6.9,15.52,5.17,4.31,7.76,1.72,0,0,0,0.86,0,0,0,0,0,0,0,7.76,5.17,1.72,0,0,0,0,0,0.86,0.86,0,7.76
"6","R_28YBck0YKaCtWki",6,13.3333333333333,120,8.33,279.17,59.17,15,8.33,0.83,0,0,5.83,1.67,6.67,8.33,14.17,16.67,2.5,3.33,0.83,22.5,5.83,1.67,0.83,0.83,2.5,1.67,0.83,0,0,0,0,11.67,0.83,0,5.83,0,5,0.83,0,1.67,1.67,0.83,0.83,2.5,1.67,0,0.83,1.67,0.83,0,0,0.83,4.17,1.67,0,0.83,1.67,0,2.5,12.5,5.83,14.17,5,5.83,5,0.83,0.83,0.83,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,6.67
"7","R_3lEub63WQLODNTh",7,22.2,111,13.51,321.62,60.36,18.02,11.71,3.6,5.41,0,1.8,0.9,6.31,2.7,12.61,18.02,6.31,7.21,1.8,19.82,7.21,5.41,0.9,0.9,0,1.8,1.8,0,0,0,0,18.02,1.8,0,0,2.7,7.21,0.9,0,0.9,0.9,0.9,3.6,1.8,0.9,0.9,0,0,0,0,0,0,11.71,9.91,1.8,0,0.9,0.9,3.6,13.51,5.41,18.02,3.6,3.6,10.81,0.9,1.8,0,0,0,0,0,0,0,0,0,0,7.21,3.6,3.6,0,0,0,0,0,0,0,0,7.21
"8","R_1P4Tk3ryPsJyD4M",8,26.5,106,15.09,318.87,53.77,24.53,17.92,5.66,0,0,12.26,0,6.6,1.89,9.43,9.43,7.55,6.6,2.83,20.75,6.6,0,0,0.94,1.89,7.55,5.66,1.89,0.94,0,0,15.09,0.94,0,13.21,0,13.21,3.77,0.94,1.89,0.94,2.83,2.83,3.77,0,0.94,1.89,0,0,0,0,0,2.83,0.94,0,1.89,0.94,0,0,16.98,4.72,10.38,4.72,2.83,2.83,1.89,0.94,0,0,0,0,0,0,0,0,0,0,13.21,3.77,4.72,0,0,0,0,0,4.72,4.72,0,13.21
"9","R_12Qo5ETRwmBGCkV",9,18.8333333333333,113,7.96,278.76,46.02,10.62,7.96,4.42,0,0,3.54,0,2.65,1.77,18.58,7.08,4.42,3.54,0.88,19.47,7.08,2.65,0.88,0,2.65,1.77,0.88,0.88,0,0.88,0,8.85,0,0.88,0,3.54,5.31,0,0,0.88,0.88,0.88,2.65,2.65,1.77,0.88,0,0,0,0,0,0,7.96,0.88,4.42,0,2.65,0,2.65,10.62,5.31,30.97,7.96,8.85,15.93,1.77,0,0,0.88,0,0,0,0,0,0,0,0,7.96,5.31,2.65,0,0,0,0,0,0,0,0,7.96
"10","R_8nVU4Z0iIVuINyx",10,114,114,13.16,310.53,63.16,13.16,7.02,0,0,0,7.02,0,6.14,7.89,14.91,15.79,6.14,7.89,0,21.93,5.26,0,0.88,0,1.75,7.02,7.02,0,0,0,0,12.28,1.75,0,0.88,7.02,8.77,0.88,0,1.75,3.51,0.88,1.75,1.75,0.88,0,0.88,0.88,0,0,0,0,9.65,3.51,2.63,0.88,4.39,0,1.75,15.79,3.51,13.16,4.39,4.39,4.39,0,2.63,0.88,0,0,0,0.88,0,0,0.88,0,0,4.39,4.39,0,0,0,0,0,0,0,0,0,4.39
