Speaker A,     Yes in it.                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Speaker B,     Hello. You won't hire and did you leave his camera here? No second. No.                                                                                                                                                                                                                                                                                                                                                                                           
Speaker A,"     Okay, sorry.                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
Speaker B,     You yeah. Did he leave his camera and jackets? His camera and jackets.                                                                                                                                                                                                                                                                                                                                                                                            
Speaker C,     Check the camera.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker A,     He's not my life.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker C,"     No, he doesn't.                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
Speaker B,     Leave it here. And give that to the keyboard. That's for you for a second.                                                                                                                                                                                                                                                                                                                                                                                        
Speaker C,"     But to read that, I think it might be good for me to join this section to pause a few things. If you read that for five minutes, it just kind of lists that all they do is they bring you up. I have a few concerns for you that might help you and help me. So it's just my correspondence.                                                                                                                                                                      "
Speaker C,     I asked him to snap.                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     I go back just 1 second.                                                                                                                                                                                                                                                                                                                                                                                                                                          
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     So you were to read that for.                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker C,"     A second was I asked you to sign up, and I kind of tabulated my thoughts, and whether it's a Pokemon, I vote to say something to go. But the first page is I wrote a different shoe talking to a letter to you, and I asked you to sign it. And I signed it. The second one was, I sent an email to Kate.                                                                                                                                                         "
Speaker C,      She said what's?                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker A,     Kate Teammate.                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Speaker C,"     Teammate. And I think and I said, a little confused, but will I turn up for the list back or turn up here? So my understand. And then the third better is an email to Nyla says it's his understanding that you told me the holiday period or something like that. So there's a confusion in that.                                                                                                                                                                "
Speaker C,"     But I'm very interested in my son and to be there from all kinds. So the first letter is just a summary. I spoke on behalf of Hugh, and I asked you to sign it and said, Hugh, would you like me to see Paul and to speak up for you? Because I feel that my son, because of his condition, every ten minutes he forgets.                                                                                                                                         "
Speaker C,"     And all I really want if it's possible, if it's possible, because I never ask you, what do you say? He will say, I talk at home, and I talk about yes, fact. And then it's like because I know I've been living with my son for seven years, so that's the first thing. So what I wanted was all you have to say.                                                                                                                                                 "
Speaker C,"     This is a solution. He was doing very good, which you hear, and I'll back him to the hill. That's what I want.                                                                                                                                                                                                                                                                                                                                                    "
Speaker C,"     But I don't know. Is there a plan afoot? Is there a goal set that maybe in a year's time you might be able to this or whatever? So I need to know for Hugh's sake, because he doesn't really know what he's doing here. And that's the first page.                                                                                                                                                                                                                "
Speaker C,"     And the second one is I was asking would Lizra have happened to ask they said, no, we're not to do that. Hugh is unique in the whole world, and I live with my son. I really want him home.                                                                                                                                                                                                                                                                       "
Speaker C,     If he's able to come home. So I take him at the moment every weekend and it's the same doesn't change. And I'm honest in seven years I've kept him relatively happy.                                                                                                                                                                                                                                                                                              
Speaker C,"     He will cry occasionally, but I can get that over so I have it as concerned so all I'm asking I understand confidentiality on the client. He's my son. There's no secrets because his brain I'm speaking about you, Hugh.                                                                                                                                                                                                                                         "
Speaker A,"     You're very, very good.                                                                                                                                                                                                                                                                                                                                                                                                                                           "
Speaker C,"     If you were to be at the pipe tonight, you say, Michael, that's out of order. So I repeat just the reason I pass.                                                                                                                                                                                                                                                                                                                                                 "
Speaker A,     Paul is back.                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker B,"     Yes, of course.                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
Speaker C,     That'S the final dominant yeah seven.                                                                                                                                                                                                                                                                                                                                                                                                                             
