"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"1","1",1,4,4,0,225,50,25,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,25,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,25
"2","2",2,4.5,18,0,233.33,50,16.67,16.67,0,0,11.11,5.56,0,0,0,0,11.11,5.56,5.56,16.67,16.67,0,0,0,5.56,0,0,0,0,0,0,0,22.22,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,5.56,5.56,5.56,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,27.78,16.67,0,0,0,5.56,0,0,5.56,5.56,0,27.78
"3","3",3,4,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,50,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,50,25,25,0,0,0,0,0,0,0,0,50
"4","4",4,5.33333333333333,16,12.5,231.25,43.75,25,25,0,0,6.25,18.75,0,0,0,0,6.25,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,18.75,12.5,0,0,0,6.25,0,0,0,0,0,18.75
"5","5",5,4,4,0,50,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,25
"6","6",6,5,5,0,380,60,40,40,20,0,0,20,0,0,0,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,20,0,0,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,20,20,0,40
"7","7",7,5,5,20,260,60,20,20,0,0,0,20,0,0,0,0,20,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0,0,0,20,20,0,60
"8","8",8,6,18,5.56,222.22,61.11,22.22,5.56,0,0,5.56,0,0,16.67,11.11,16.67,5.56,5.56,5.56,0,16.67,0,0,0,5.56,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,22.22,16.67,0,0,0,0,0,0,5.56,5.56,0,22.22
"9","9",9,16.75,67,5.97,292.54,62.69,29.85,16.42,7.46,0,5.97,0,2.99,13.43,2.99,11.94,10.45,4.48,5.97,0,17.91,2.99,0,0,1.49,5.97,2.99,2.99,0,0,0,0,11.94,0,0,0,0,10.45,1.49,0,1.49,5.97,1.49,2.99,0,0,0,0,0,0,0,0,0,7.46,4.48,0,4.48,1.49,0,0,11.94,2.99,5.97,1.49,2.99,1.49,2.99,0,0,0,0,0,0,0,0,0,0,0,10.45,5.97,2.99,0,0,0,0,0,1.49,1.49,0,10.45
"10","10",10,6,6,0,250,50,33.33,33.33,16.67,0,0,16.67,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67
"11","11",11,7,7,0,228.57,42.86,14.29,14.29,14.29,0,0,0,0,0,0,0,0,28.57,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,28.57,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,14.29
"12","12",12,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,50
"13","13",13,8,8,0,262.5,75,25,12.5,0,0,12.5,0,0,12.5,0,25,12.5,12.5,12.5,0,25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5
