"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"1","1",1,5,10,10,170,20,10,10,10,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,20,0,0,20,0,0,50,20,20,0,0,0,0,0,10,10,0,50
"2","2",2,4,4,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,50,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,25
"3","3",3,9,18,5.56,311.11,38.89,11.11,5.56,5.56,0,0,0,0,5.56,5.56,5.56,22.22,0,0,0,33.33,11.11,5.56,0,0,11.11,16.67,11.11,5.56,0,0,0,0,0,0,0,0,16.67,5.56,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,0,5.56,5.56,11.11,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,16.67,11.11,0,0,0,0,0,0,5.56,5.56,0,16.67
"4","4",4,5.5,11,18.18,200,27.27,9.09,9.09,0,0,9.09,0,0,0,0,0,9.09,9.09,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,9.09,0,0,0,9.09,0,0,9.09,0,0,36.36,18.18,9.09,0,0,0,0,0,9.09,9.09,0,36.36
"5","5",5,7,7,0,271.43,57.14,28.57,14.29,0,0,14.29,0,0,14.29,0,14.29,14.29,0,0,0,28.57,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29
"6","6",6,16,64,6.25,264.06,45.31,12.5,7.81,6.25,0,1.56,0,0,4.69,4.69,14.06,10.94,4.69,4.69,3.12,15.62,6.25,6.25,1.56,3.12,3.12,4.69,3.12,1.56,1.56,0,0,3.12,0,0,0,0,7.81,1.56,0,0,1.56,1.56,3.12,3.12,0,1.56,1.56,0,0,0,0,0,4.69,0,0,4.69,0,0,4.69,10.94,0,20.31,0,12.5,7.81,0,0,0,0,0,0,3.12,0,0,3.12,0,0,28.12,6.25,14.06,0,0,0,0,0,7.81,7.81,0,28.12
"7","7",7,11.6666666666667,35,5.71,245.71,48.57,8.57,5.71,0,2.86,2.86,0,0,2.86,14.29,14.29,8.57,0,2.86,2.86,22.86,2.86,2.86,0,0,0,2.86,2.86,0,0,0,0,8.57,0,0,0,0,11.43,0,0,5.71,2.86,0,2.86,2.86,0,2.86,0,0,0,0,0,0,5.71,2.86,0,0,2.86,0,0,11.43,0,14.29,2.86,11.43,0,0,0,8.57,0,0,0,0,0,0,0,0,0,25.71,8.57,11.43,0,0,0,0,0,5.71,5.71,0,25.71
"8","8",8,29.3333333333333,88,9.09,243.18,50,9.09,6.82,4.55,0,2.27,0,0,2.27,5.68,20.45,2.27,2.27,10.23,2.27,9.09,2.27,5.68,1.14,1.14,3.41,1.14,0,1.14,0,0,0,7.95,0,0,0,0,9.09,0,1.14,1.14,2.27,2.27,4.55,2.27,0,2.27,0,1.14,1.14,0,0,0,5.68,0,1.14,4.55,0,0,5.68,3.41,1.14,19.32,4.55,12.5,2.27,4.55,0,0,0,0,0,0,0,0,0,0,0,12.5,3.41,9.09,0,0,0,0,0,0,0,0,12.5
"9","9",9,8.66666666666667,26,7.69,265.38,53.85,15.38,7.69,0,7.69,0,0,0,7.69,3.85,23.08,7.69,3.85,0,0,15.38,0,3.85,3.85,0,0,0,0,0,0,0,0,7.69,0,0,0,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,3.85,3.85,0,0,11.54,3.85,19.23,3.85,11.54,3.85,3.85,7.69,0,0,0,0,0,0,0,0,0,0,11.54,7.69,0,0,0,3.85,0,0,0,0,0,11.54
"10","10",10,6,6,0,250,50,33.33,16.67,16.67,0,0,0,0,16.67,0,0,16.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67
